email_id,inbox/outbox,sender/recipient,subject,sent_datetime,body
00000373,inbox,santiago.martinez@atlas.com,Task Update on Develop prototype for payment gateway,2023-10-01 09:15:02,"Sam,\n\nCompleted task 'Develop prototype for payment gateway' ahead of schedule. Please review and let me know if any tweaks are needed.\n\nBest,\nSantiago"
00000353,inbox,chenwei.zhang@atlas.com,Update on Annual Budget Planning Session,2023-10-01 09:40:01,"Sam,\n\nEncountered a few challenges while working on the Annual Budget Planning Session. Could use your advice.\n\nCheers,\nChenwei"
00000013,inbox,kofi.mensah@atlas.com,Task Update on Fix alignment issue in homepage,2023-10-01 10:50:46,"Dear Sam,\n\nRegarding task 'Fix alignment issue in homepage', I've made significant progress but have hit a snag with third-party API compatibility. Could use a brainstorm session.\n\nRegards,\nKofi"
00000103,inbox,chenwei.zhang@atlas.com,Update on Quarterly Sales Review,2023-10-01 10:58:07,"Hey Sam,\n\nEncountered a few challenges while working on the Quarterly Sales Review. Could use your advice.\n\nThanks,\nChenwei"
00000295,inbox,nadia.moreau@atlas.com,Update on Year-End Performance Assessment,2023-10-01 11:37:37,"Hey Sam,\n\nCould you provide your input on the Year-End Performance Assessment planing? Your insights would be really valuable.\n\nAdditionally, I wanted to touch base on some other areas we've been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectives.\n\nBest,\nNadia"
00000230,inbox,santiago.martinez@atlas.com,Task Update on Fix alignment issue in profile page,2023-10-01 12:56:52,"Dear Sam,\n\nI've been assigned 'Fix alignment issue in profile page'. Excited to work on this and confident it will greatly improve our security protocols.\n\nBest,\nSantiago"
00000393,inbox,raj.patel@atlas.com,Update on Supply Chain Enhancement Workshop,2023-10-01 13:11:52,"Dear Sam,\n\nI have some ideas for the Supply Chain Enhancement Workshop that I'd like to run by you. When are you free?\n\nCheers,\nRaj"
00000082,inbox,chenwei.zhang@atlas.com,Task Update on Update react to latest version,2023-10-01 13:28:31,"Dear Sam,\n\nCompleted task 'Update react to latest version' ahead of schedule. Please review and let me know if any tweaks are needed.\n\nI also wanted to share some exciting news about our upcomming team-building event. We've been planning a fun and engaging day for everyone, and I'm confident it will be a great opportunity for everyone to unwind and bond with their colleagues. I'll be sending out more details soon, so keep an eye out for that!\n\nBest,\nChenwei"
00000377,inbox,raj.patel@atlas.com,Update on daily stand-up,2023-10-01 13:32:50,"Sam,\n\nI wanted to let you know that I've completed the tasks for the daily stand-up. Looking forward to your feedback.\n\nThanks,\nRaj"
00000146,inbox,aisha.chen@atlas.com,Task Update on Develop prototype for login system,2023-10-01 13:36:34,"Hi Sam,\n\nStarting on 'Develop prototype for login system' today. Any preliminary thoughts or resources you recommend before I dive in?\n\nCheers,\nAisha"
00000139,inbox,dmitri.ivanov@atlas.com,Update on sync up,2023-10-01 14:03:02,"Hi Sam,\n\nThanks for the invite. Looking forward to it!\n\nRegards,\nDmitri"
00000397,inbox,anaya.patel@atlas.com,Task Update on Implement payment gateway API,2023-10-01 14:21:55,"Hi Sam,\n\nCompleted task 'Implement payment gateway API' ahead of schedule. Please review and let me know if any tweaks are needed.\n\nRegards,\nAnaya"
00000128,inbox,sofia.santos@atlas.com,Task Update on Update brand colors in website,2023-10-02 09:25:02,"Hey Sam,\n\nI've been assigned 'Update brand colors in website'. Excited to work on this and confident it will greatly improve our user experience.\n\nBest,\nSofia"
00000187,inbox,lena.schmidt@atlas.com,Update on Leadership Training Workshop,2023-10-02 10:31:52,"Sam,\n\nReminder about the Leadership Training Workshop next week. Let's make sure we're all prepared.\n\nThanks,\nLena"
