"query","function_calls","full_response","error"
"Update the status of Cameron Anderson to qualified in the crm","[]","{'input': 'Update the status of Cameron Anderson to qualified in the crm', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Cameron Anderson""\n  }\n}', 'intermediate_steps': []}",""
"Update the status of Riley Brown to proposal in the crm","[]","{'input': 'Update the status of Riley Brown to proposal in the crm', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Riley Brown""\n  }\n}', 'intermediate_steps': []}",""
"Update the status of Jessie Thomas to won in the crm","[]","{'input': 'Update the status of Jessie Thomas to won in the crm', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Jessie Thomas""\n  }\n}', 'intermediate_steps': []}",""
"Quinn Thomas has moved to lead status. Can you update that in the crm?","[]","{'input': 'Quinn Thomas has moved to lead status. Can you update that in the crm?', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Quinn Thomas""\n  }\n}', 'intermediate_steps': []}",""
"Update the status of Quinn Harris to won in the crm","[]","{'input': 'Update the status of Quinn Harris to won in the crm', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Quinn Harris""\n  }\n}', 'intermediate_steps': []}",""
"Quinn Brown has moved to lost status. Can you update that in the crm?","[]","{'input': 'Quinn Brown has moved to lost status. Can you update that in the crm?', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Quinn Brown""\n  }\n}', 'intermediate_steps': []}",""
"Update the status of Jamie Anderson to lost in the crm","[]","{'input': 'Update the status of Jamie Anderson to lost in the crm', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Jamie Anderson""\n  }\n}', 'intermediate_steps': []}",""
"We've got a new customer that's moved to proposal status. Can you update Kerry Brown to proposal in the crm?","[]","{'input': ""We've got a new customer that's moved to proposal status. Can you update Kerry Brown to proposal in the crm?"", 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Kerry Brown""\n  }\n}', 'intermediate_steps': []}",""
"Update the status of Jordan Jones to won in the crm","[]","{'input': 'Update the status of Jordan Jones to won in the crm', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Jordan Jones""\n  }\n}', 'intermediate_steps': []}",""
"Jamie Davis has moved to lead status. Can you update that in the crm?","[]","{'input': 'Jamie Davis has moved to lead status. Can you update that in the crm?', 'output': '{\n  ""action"": ""customer_relationship_manager.search_customers"",\n  ""action_input"": {\n    ""customer_name"": ""Jamie Davis""\n  }\n}', 'intermediate_steps': []}",""
